post_id,permalink,post_message,type,date_posted,lifetime_unique_video_views,lifetime_unique_30s_views,lifetime_unique_watches_at_95p,lifetime_unique_60s_video_views
102088165248724_112537330870474,https://www.facebook.com/sugboanongsimbahan/posts/112537330870474,"PALANDONG | The Daily Gospel Reflection   ""Ang kaugalingon magpataas ba o magpaubos?"" Gospel from Luke 18:9-14 Friday, 3rd Week of Lent March 13, 2021  By Rev. Fr. Leo Lou Arche  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzg...?  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsi... ? Twitter: https://twitter.com/sugbosimbahan ? Instagram: https://www.instagram.com/sugboanongs... ?  #SugboanongSimbahan???  #RCACNowOnline???  #500YoCCebu???  #GiftedToGiveCebu",Video,3/12/21 2:00 PM,212,25,4,10
102088165248724_132583222199218,https://www.facebook.com/sugboanongsimbahan/posts/132583222199218,"PALANDONG | The Daily Gospel Reflection   ""Pabilin kamo, Kanako"" Gospel from John 15:1-8 Wednesday, 5th Week of Easter May 5, 2021  By Rev. Raph de la Pieza Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/4/21 7:11 PM,290,78,29,46
102088165248724_116562030468004,https://www.facebook.com/sugboanongsimbahan/posts/116562030468004,,SharedVideo,3/27/21 4:29 PM,77,0,0,4
102088165248724_116560680468139,https://www.facebook.com/sugboanongsimbahan/posts/116560680468139,,SharedVideo,3/27/21 4:19 PM,106,0,0,8
102088165248724_116561870468020,https://www.facebook.com/sugboanongsimbahan/posts/116561870468020,,SharedVideo,3/27/21 4:27 PM,34,0,0,0
102088165248724_116571283800412,https://www.facebook.com/sugboanongsimbahan/posts/116571283800412,,SharedVideo,3/27/21 5:46 PM,58,0,0,6
102088165248724_125596216231252,https://www.facebook.com/sugboanongsimbahan/posts/125596216231252,,SharedVideo,4/22/21 6:16 AM,293,0,0,22
102088165248724_116571140467093,https://www.facebook.com/sugboanongsimbahan/posts/116571140467093,,SharedVideo,3/27/21 5:45 PM,54,0,0,4
102088165248724_129428769181330,https://www.facebook.com/sugboanongsimbahan/posts/129428769181330,,SharedVideo,4/29/21 1:56 AM,49,0,0,0
102088165248724_115423213915219,https://www.facebook.com/sugboanongsimbahan/posts/115423213915219,,SharedVideo,3/21/21 4:40 PM,457,0,0,121
102088165248724_116560967134777,https://www.facebook.com/sugboanongsimbahan/posts/116560967134777,,SharedVideo,3/27/21 4:22 PM,33,0,0,4
102088165248724_116561393801401,https://www.facebook.com/sugboanongsimbahan/posts/116561393801401,,SharedVideo,3/27/21 4:25 PM,42,0,0,3
102088165248724_140634481394092,https://www.facebook.com/sugboanongsimbahan/posts/140634481394092,,SharedVideo,5/19/21 1:04 AM,581,0,0,94
102088165248724_128678389256368,https://www.facebook.com/sugboanongsimbahan/posts/128678389256368,,SharedVideo,4/27/21 6:01 PM,66,0,0,6
102088165248724_121502966640577,https://www.facebook.com/sugboanongsimbahan/posts/121502966640577,"PALANDONG | The Daily Gospel Reflection   ""Come to Jesus when you are empty"" Gospel from John 6:1-15 Friday, 2nd Week of Easter April 16, 2021  By Rev. Fr. Junray Rayna  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,4/15/21 3:00 PM,384,95,33,54
102088165248724_120472946743579,https://www.facebook.com/sugboanongsimbahan/posts/120472946743579,"14 APRIL 2021 | On this day, 500 years ago, WE HAVE RECEIVED THE GIFT OF FAITH through the First Baptism here in Cebu. For five centuries (and counting), WE ARE GIFTED TO GIVE! #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu  . . . . . THE FIRST BAPTISM IN THE PHILIPPINES  The year was 1521. In the island of Cebu, the first Baptism in the Philippines was celebrated. It was the Sunday morning of April the 14th, when Rajah Humabon, the King of Cebu, and fifty men accepted to be baptized by the chaplain of the Spanish fleet.   Earlier that week, Ferdinand Magellan, the captain-general, made clear to the natives that they do not become Christians to please the Spaniards or from fear of them, but must do it willfully and for the love of God. Humabon was given the Christian name Carlos, after that of the King of Spain. Later that day, the Queen of Cebu together with forty ladies was baptized, and she was given the Christian name Juana after the King of Spain's mother.  According to the expedition's chronicler Antonio Pigafetta, on that day alone, eight hundred men, women and children were baptized. And within the succeeding eight days, the whole of the island of Cebu and some neighboring islands received the Christian faith. A cross was planted in one of the villages.   Right before the baptism of Queen Juana, a wooden statue of Our Lady holding her child and a cross were shown to them. What attracted the Queen the most, however, was the little wooden boy. She begged for it for her to put in the place of the idols, and thereupon, the image of the Sto. Niño was given to her.   On that momentous day five centuries ago, King HUmabon, Queen Juana and hundreds of natives were given the gift of Faith. Christianity was born in the Philippines. This same faith has flourished in these islands through the centuries with the heroic labors of zealous missionaries.  Today, we Filipino faithful celebrates with joy the 500 Years of Christianity in the Philippines.  . . . . . Photos and Music: CTTO  No copyright infringement intended.",Video,4/13/21 2:00 PM,9189,1177,1177,0
102088165248724_116893463768194,https://www.facebook.com/sugboanongsimbahan/posts/116893463768194,"PALANDONG | The Daily Gospel Reflection   ""Hiyas sa Kamatinud-anon"" o ""Purity of Intention"" Gospel from John 12:1-11 Holy Monday March 29, 2021  By Rev. Fr. Jason Facunla  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,3/28/21 3:03 PM,156,35,12,26
102088165248724_115733110550896,https://www.facebook.com/sugboanongsimbahan/posts/115733110550896,"IN CASE YOU MISSED IT | Here are the highlights during the Chrism Mass and Renewal of Priestly Vows presided over by Cebu Archbishop Jose S. Palma at The Cebu Metropolitan Cathedral last March 23, 2021.   Let us pray for our priests. May God, through the intercession of the Blessed Virgin Mary, continue to guide and strengthen them as they lead and serve the flock of Christ.  #SugboanongSimbahan  #500YoCCebu  #GiftedToGive",Video,3/23/21 9:00 PM,9928,2788,1102,1961
102088165248724_112536727537201,https://www.facebook.com/sugboanongsimbahan/posts/112536727537201,"PALANDONG | The Daily Gospel Reflection   ""Pagbahinbahin ug Magkatibulaag"" Gospel from Luke 11:14-23 Wednesday, 3rd Week of Lent March 11, 2021  By Rev. Fr. Leo Lou Arche  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzg...?  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsi... ? Twitter: https://twitter.com/sugbosimbahan ? Instagram: https://www.instagram.com/sugboanongs... ?  #SugboanongSimbahan???  #RCACNowOnline???  #500YoCCebu???  #GiftedToGiveCebu",Video,3/10/21 2:00 PM,218,50,10,23
102088165248724_114281450696062,https://www.facebook.com/sugboanongsimbahan/posts/114281450696062,"PALANDONG | The Daily Gospel Reflection   ""Ginoo, Ayuha Kami"" Gospel from John 5:1-16 Tuesday, 4th Week of Lent March 16, 2021  By Rev. Fr. Rogel Murillo  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzg...?  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsi... ? Twitter: https://twitter.com/sugbosimbahan ? Instagram: https://www.instagram.com/sugboanongs... ?  #SugboanongSimbahan???  #RCACNowOnline???  #500YoCCebu???  #GiftedToGiveCebu",Video,3/15/21 3:00 PM,162,30,10,19
102088165248724_113340687456805,https://www.facebook.com/sugboanongsimbahan/posts/113340687456805,"WATCH THIS | Most of our patron saints are from Spain, brought to the Philippines by our first missionaries.   Are there more than the ones presented in the video? Comment them down below. #SugboanongSimbahan #500YoCCebu #GiftedToGive",Video,3/13/21 4:00 AM,383,139,90,0
102088165248724_109687197822154,https://www.facebook.com/sugboanongsimbahan/posts/109687197822154,"PALANDONG | The Daily Gospel Reflection   ""Mga Gilangkoban sa Pag-ampo"" Gospel from Matthew 6:7-15 Tuesday, 1st Week of Lent February 23, 2021  By Rev. Fr. Vhen Jesus E. Fernandez  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,2/22/21 4:30 PM,1173,247,92,149
102088165248724_109687297822144,https://www.facebook.com/sugboanongsimbahan/posts/109687297822144,"PALANDONG | The Daily Gospel Reflection   ""Paasa o Pasalig"" Gospel from Matthew 7:7-12 Thursday, 1st Week of Lent February 25, 2021  By Rev. Fr. Vhen Jesus E. Fernandez  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,2/24/21 4:30 PM,1271,310,107,217
102088165248724_112381570886050,https://www.facebook.com/sugboanongsimbahan/posts/112381570886050,"PALANDONG | The Daily Gospel Reflection   ""Ang Espiritu sa Dios, Anaa kanato."" Gospel from Luke 4:24-30 Saturday, 3rd Week of Lent March 08, 2021  By Rev. Fr. Leo Lou Arche  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzg...?  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsi... ? Twitter: https://twitter.com/sugbosimbahan ? Instagram: https://www.instagram.com/sugboanongs... ?  #SugboanongSimbahan???  #RCACNowOnline???  #500YoCCebu???  #GiftedToGiveCebu",Video,3/7/21 2:00 PM,255,42,12,28
